"Timestamp","De Gea","Fosu Mensah","Lindelof","Maguire","Wan-Bissaka","McTominay","Pogba","Bruno","Rashford","Greenwood","Martial","Lingard","Matic","Team Performance","Final Result","Ole","Crystal Palace","Did the ref do a good job?"
"2020/07/17 11:01:50 PM GMT+2","10","8","8","8","8","6","7","7","9","7","9","7","8","8","10","9","8","No"
"2020/07/17 11:02:37 PM GMT+2","7","6","7","7","7","6","7","6","8","6","8","6","6","7","8","8","6","Yes"
"2020/07/17 11:03:42 PM GMT+2","10","6","10","8","7","6","8","7","10","6","10","7","8","7","9","8","8","Yes"
"2020/07/17 11:06:52 PM GMT+2","9","6","8","8","7","6","7","7","8","6","8","7","7","7","8","8","7","Yes"
"2020/07/17 11:09:25 PM GMT+2","7","6","6","6","6","6","7","7","8","6","8","6","6","7","7","7","6","Yes"
"2020/07/17 11:11:37 PM GMT+2","8","6","8","7","6","5","8","6","9","5","8","6","7","6","8","7","7","Yes"
"2020/07/17 11:14:10 PM GMT+2","9","7","8","7","7","5","7","9","9","4","10","8","7","8","9","9","10","Yes"
"2020/07/17 11:18:35 PM GMT+2","10","7","10","8","7","6","7","7","9","6","9","7","9","7","7","10","8","Yes"
"2020/07/17 11:19:52 PM GMT+2","9","6","8","6","7","4","6","8","8","6","8","6","8","6","9","7","9","Yes"
"2020/07/17 11:20:11 PM GMT+2","8","7","6","5","6","5","7","6","7","5","7","6","7","6","8","7","8","Yes"
"2020/07/17 11:31:36 PM GMT+2","9","6","8","7","7","5","8","8","9","6","9","7","8","7","7","7","6","Yes"
