"Timestamp","De Gea","Williams","Maguire","Jones","AWB","Matic","Fred","James","Pereira","Mata","Martial","Greenwood (optional)","Lingard (optional)","Shaw (optional)","Team Performance","Final Result","Ole","Burnley","Did the ref do a good job? (optional)","Did VAR do a good job? (optional)"
"2020/01/25 4:01:45 PM GMT+1","4","6","2","6","6","7","7","4","3","4","4","5","5","5","4","2","3","9","Yes","Yes"
"2020/01/25 4:02:54 PM GMT+1","5","6","4","4","6","6","6","5","1","5","3","5","5","1","1","1","1","6","Yes","Yes"
"2020/01/25 4:03:07 PM GMT+1","6","6","5","6","6","7","6","6","4","5","4","6","3","4","6","4","5","6","Yes","Yes"
"2020/01/25 4:04:54 PM GMT+1","6","7","4","6","6","6","6","2","2","2","2","6","1","","4","2","6","4","No","Yes"
"2020/01/25 4:05:59 PM GMT+1","4","4","2","5","5","4","5","3","3","4","3","4","4","4","2","1","1","4","Yes","Yes"
"2020/01/25 4:06:52 PM GMT+1","6","5","2","5","5","5","6","4","1","5","4","6","","","4","1","2","6","Yes","Yes"
"2020/01/25 4:10:35 PM GMT+1","8","6","3","8","8","8","6","4","3","4","4","5","3","3","2","1","5","7","",""
"2020/01/25 4:16:05 PM GMT+1","5","5","3","4","5","5","5","3","3","4","3","5","1","4","1","1","1","5","Yes","Yes"
"2020/01/25 4:33:53 PM GMT+1","2","5","2","3","4","4","5","3","2","2","2","","","","2","2","2","6","Yes",""
"2020/01/25 4:37:13 PM GMT+1","6","7","5","6","5","4","7","4","3","4","5","7","3","3","4","2","2","9","Yes","Yes"
"2020/01/25 4:37:58 PM GMT+1","2","2","1","3","4","2","3","4","2","3","1","3","2","2","2","3","1","9","Yes","Yes"
"2020/01/25 4:38:18 PM GMT+1","5","6","1","4","7","7","5","4","6","4","1","","1","1","2","10","1","5","",""
"2020/01/25 4:44:05 PM GMT+1","6","5","5","4","5","6","6","4","3","5","3","","2","","4","2","4","6","Yes","Yes"
"2020/01/25 4:52:54 PM GMT+1","5","7","4","7","7","5","7","5","4","4","3","6","3","","4","1","3","8","",""
"2020/01/25 4:55:59 PM GMT+1","5","5","2","7","7","6","6","2","2","3","5","","","","2","1","2","8","Yes","Yes"
"2020/01/25 4:57:57 PM GMT+1","7","7","5","1","5","5","8","5","5","5","5","5","2","4","4","4","5","7","Yes","Yes"
"2020/01/25 5:00:57 PM GMT+1","5","5","5","6","7","5","7","4","3","5","3","6","5","4","1","1","3","5","No","Yes"
"2020/01/25 5:01:37 PM GMT+1","5","5","4","4","5","6","6","5","3","5","5","","","","1","1","4","6","Yes","Yes"
"2020/01/25 5:01:45 PM GMT+1","5","5","4","5","3","4","6","3","3","3","5","4","3","5","1","1","1","9","Yes","Yes"
"2020/01/25 5:06:18 PM GMT+1","5","6","4","4","7","5","6","4","4","4","4","5","4","4","3","1","5","7","Yes","Yes"
"2020/01/25 5:06:21 PM GMT+1","4","7","5","5","6","5","6","3","1","2","6","","3","3","3","1","4","7","Yes","Yes"
"2020/01/25 5:08:31 PM GMT+1","6","5","2","2","3","5","5","3","2","4","2","7","2","3","2","2","2","6","Yes","Yes"
"2020/01/25 5:12:53 PM GMT+1","4","6","5","6","6","5","6","4","4","4","4","6","5","5","3","1","2","8","Yes","Yes"
"2020/01/25 5:16:15 PM GMT+1","6","7","4","4","4","4","5","4","3","3","1","5","2","2","1","1","4","9","Yes","Yes"
"2020/01/25 5:19:51 PM GMT+1","4","5","2","3","5","3","5","4","2","3","3","4","4","3","2","2","1","5","Yes","Yes"
"2020/01/25 5:20:20 PM GMT+1","3","6","3","4","7","5","5","3","1","4","3","4","2","2","2","1","1","7","Yes","Yes"
"2020/01/25 5:21:00 PM GMT+1","6","6","5","6","7","6","6","4","5","5","4","6","5","5","4","1","2","7","Yes","Yes"
"2020/01/25 5:23:07 PM GMT+1","5","5","4","4","5","5","6","6","3","4","4","5","","7","2","1","2","7","Yes",""
"2020/01/25 5:29:25 PM GMT+1","2","4","3","2","4","5","5","2","2","3","3","","","","1","1","2","5","",""
"2020/01/25 5:30:10 PM GMT+1","1","3","1","1","3","2","4","2","1","2","1","2","1","1","1","1","1","5","Yes","Yes"
"2020/01/25 5:31:09 PM GMT+1","5","5","5","5","5","6","6","5","5","5","4","5","4","5","3","2","5","6","No","Yes"
"2020/01/25 5:37:29 PM GMT+1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","No","No"
"2020/01/25 5:41:54 PM GMT+1","5","5","5","4","6","3","6","5","3","4","3","5","4","4","2","3","5","7","Yes","Yes"
"2020/01/25 5:46:08 PM GMT+1","2","8","4","6","5","1","3","4","1","6","4","6","1","2","1","1","4","6","No","Yes"
"2020/01/25 5:54:14 PM GMT+1","3","5","4","3","6","6","5","4","3","2","1","4","1","4","2","1","1","5","Yes","Yes"
"2020/01/25 5:56:47 PM GMT+1","6","5","4","5","8","7","7","5","3","4","4","","","","4","2","4","6","",""
"2020/01/25 6:03:50 PM GMT+1","3","3","2","3","6","4","4","2","2","3","1","4","2","2","1","1","2","6","Yes","Yes"
"2020/01/25 6:04:15 PM GMT+1","2","6","6","4","6","5","5","5","1","3","4","4","2","2","1","1","4","6","No","No"
"2020/01/25 6:04:19 PM GMT+1","5","5","4","4","5","4","6","5","2","3","2","4","4","6","1","1","2","6","Yes","Yes"
"2020/01/25 6:05:04 PM GMT+1","6","4","3","4","5","5","6","4","3","4","4","7","2","4","2","2","4","7","Yes","Yes"
"2020/01/25 6:11:53 PM GMT+1","5","5","3","4","6","5","4","2","1","3","2","4","3","3","2","1","2","7","",""
"2020/01/25 6:18:52 PM GMT+1","5","5","3","3","6","6","6","4","4","4","1","","1","","2","2","1","10","",""
"2020/01/25 6:19:27 PM GMT+1","5","4","2","4","5","5","4","4","2","3","3","","","","2","1","2","8","No","Yes"
"2020/01/25 6:20:59 PM GMT+1","5","5","4","4","5","5","6","4","2","3","5","","","","3","1","4","6","No","No"
"2020/01/25 6:24:34 PM GMT+1","5","5","5","4","5","5","7","5","4","3","3","","","","4","2","3","7","",""
"2020/01/25 6:33:06 PM GMT+1","8","8","4","4","6","8","4","5","4","3","3","6","1","5","1","1","1","10","No","No"
"2020/01/25 6:40:01 PM GMT+1","6","6","4","4","8","5","7","3","2","3","4","5","5","5","4","1","5","7","No","Yes"
"2020/01/25 6:40:15 PM GMT+1","10","1","10","10","10","10","1","10","10","10","10","1","10","10","10","10","10","10","Yes","Yes"
"2020/01/25 6:44:58 PM GMT+1","5","5","4","8","6","6","4","3","2","2","2","","","","3","2","4","8","Yes","Yes"
"2020/01/25 6:45:14 PM GMT+1","5","6","4","4","6","5","5","5","5","6","6","7","4","5","4","2","4","6","Yes","Yes"
